RMSE,filter
{rmse_x:0.0880562   rmse_Y:0.0979879  rmse_vx:0.680945  rmse_vY:0.538862  },1
{rmse_x:0.0878307   rmse_Y:0.0977377  rmse_vx:0.67873  rmse_vY:0.537832  },1
{rmse_x:0.0878507   rmse_Y:0.0975103  rmse_vx:0.676621  rmse_vY:0.537335  },1
{rmse_x:0.0880047   rmse_Y:0.0972032  rmse_vx:0.67484  rmse_vY:0.53577  },1
{rmse_x:0.0881556   rmse_Y:0.0968856  rmse_vx:0.672875  rmse_vY:0.534373  },1
{rmse_x:0.0883431   rmse_Y:0.0965753  rmse_vx:0.670973  rmse_vY:0.532978  },1
{rmse_x:0.0881265   rmse_Y:0.0962643  rmse_vx:0.668806  rmse_vY:0.53177  },1
{rmse_x:0.0880389   rmse_Y:0.0959592  rmse_vx:0.666772  rmse_vY:0.530375  },1
{rmse_x:0.0879646   rmse_Y:0.0956745  rmse_vx:0.664717  rmse_vY:0.529415  },1
{rmse_x:0.0879194   rmse_Y:0.0953816  rmse_vx:0.6628  rmse_vY:0.528019  },1
{rmse_x:0.0877994   rmse_Y:0.0951078  rmse_vx:0.660761  rmse_vY:0.526625  },1
{rmse_x:0.0877654   rmse_Y:0.0949141  rmse_vx:0.658855  rmse_vY:0.525029  },1
{rmse_x:0.0875361   rmse_Y:0.0947675  rmse_vx:0.65681  rmse_vY:0.523551  },1
{rmse_x:0.0874053   rmse_Y:0.0948434  rmse_vx:0.654895  rmse_vY:0.521935  },1
{rmse_x:0.0871392   rmse_Y:0.095159  rmse_vx:0.652884  rmse_vY:0.520351  },1
{rmse_x:0.0869247   rmse_Y:0.0953609  rmse_vx:0.650912  rmse_vY:0.518994  },1
{rmse_x:0.0869822   rmse_Y:0.0951708  rmse_vx:0.649185  rmse_vY:0.518557  },1
{rmse_x:0.0871619   rmse_Y:0.0949624  rmse_vx:0.647727  rmse_vY:0.517655  },1
{rmse_x:0.0869188   rmse_Y:0.0948004  rmse_vx:0.6458  rmse_vY:0.51687  },1
{rmse_x:0.0866921   rmse_Y:0.0945644  rmse_vx:0.643911  rmse_vY:0.516625  },1
{rmse_x:0.0865253   rmse_Y:0.0943505  rmse_vx:0.642079  rmse_vY:0.516533  },1
{rmse_x:0.0864008   rmse_Y:0.094135  rmse_vx:0.640196  rmse_vY:0.515693  },1
